,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
27913,NM_015908.6,SRRT,0.749242629,0.141400284,1,1.470596451,35.57148117
17130,NM_015909.4,NBAS,-0.323057826,0.204648718,1,-1.268417998,32.37910698
17532,NM_015910.7,WDPCP,-0.390118911,0.736992348,1,-0.335838908,1.328668807
39612,NM_015912.4,FAM135B,NA,NA,NA,NA,0
332,NM_015913.4,TXNDC12,-0.423979137,0.002553278,0.245352365,-3.016954916,165.0736404
11434,NM_015914.7,TXNDC11,-0.394505368,0.395319108,1,-0.850010752,8.214498459
4783,NM_015916.5,CALHM2,0.353248293,0.731125084,1,0.343629304,1.568751539
28330,NM_015917.3,GSTK1,-0.012980341,0.963472997,1,-0.045795812,82.5556089
8230,NM_015918.4,POP5,0.343712202,0.052088248,1,1.942403701,59.09146456
10510,NM_015920.4,RPS27L,-0.35446818,0.10960966,1,-1.599950072,38.84238902
25856,NM_015921.3,CUTA,0.452850505,0.103569412,1,1.627790046,30.84573192
31879,NM_015922.3,NSDHL,0.1487442,0.510777766,1,0.657627116,37.73981606
21706,NM_015926.6,TEX264,0.456528574,0.516823,1,0.648250414,21.69260523
17895,NM_015929.4,LIPT1,1.891839394,0.192888057,1,1.302082874,1.53967296
21057,NM_015931.3,SSUH2,0.494767891,0.841897259,1,0.19946725,0.441142013
8498,NM_015932.6,POMP,-0.073773465,0.66601756,1,-0.431620083,158.3708071
561,NM_015933.6,TMA7,-0.239434652,0.013250452,0.754450531,-2.476966023,556.8860342
18728,NM_015934.5,NOP58,0.148057636,0.342782109,1,0.948682517,231.5029438
3023,NM_015935.5,METTL13,0.641789214,0.49380912,1,0.684262979,17.25772107
19690,NM_015937.6,PIGT,0.195990476,0.717628863,1,0.361629571,55.50808818
19310,NM_015939.5,TRMT6,0.073902907,0.777427321,1,0.282673254,28.54542911
29018,NM_015941.4,ATP6V1H,-0.126257888,0.537876865,1,-0.61602675,48.09046943
29266,NM_015942.5,MTERF3,0.106485624,0.650401821,1,0.453204043,38.84920077
11272,NM_015944.4,AMDHD2,1.766569841,0.793272137,1,0.262063953,0.191150131
19726,NM_015945.12,SLC35C2,0.688860761,0.574492401,1,0.561447661,3.455280455
24145,NM_015946.5,PELO,0.171121052,0.579604595,1,0.553962376,18.81659946
26880,NM_015949.3,GET4,0.50467046,0.375729818,1,0.885791635,19.75678866
26018,NM_015950.5,MRPL2,0.154224564,0.726261105,1,0.350103393,76.86243088
26458,NM_015952.4,RWDD1,0.05627588,0.858789086,1,0.17791582,19.77174402
7063,NM_015954.4,DERA,-0.416689928,0.025239504,1,-2.237717187,67.90114116
15298,NM_015956.3,MRPL4,0.705666046,0.469650503,1,0.723047825,27.69608828
5502,NM_015957.4,APIP,-0.34380004,0.045852979,1,-1.996744187,86.14507141
2133,NM_015958.3,DPH5,-0.376387077,0.038925941,1,-2.06496892,79.40030318
5656,NM_015959.4,TMX2,-0.100410334,0.474415756,1,-0.71531284,114.9803226
4662,NM_015960.3,CUTC,-0.228913501,0.164743351,1,-1.389294054,78.9256234
9653,NM_015962.5,FCF1,-0.152879904,0.565280708,1,-0.575015657,35.32169155
19160,NM_015963.6,THAP4,0.131370955,0.833825727,1,0.209797496,29.68534177
12082,NM_015964.4,TPPP3,1.459673192,0.082263232,1,1.737702588,3.114620324
15701,NM_015965.7,NDUFA13,0.373082142,0.696557639,1,0.389971476,208.945996
19551,NM_015966.3,ERGIC3,-0.317938033,0.31149624,1,-1.012087455,281.8234222
32323,NM_015967.7,PTPN22,NA,NA,NA,NA,0
27376,NM_015969.3,MRPS17,-0.15968769,0.466012676,1,-0.728981995,38.54760188
14070,NM_015971.4,MRPS7,0.007434349,0.964146787,1,0.044950471,132.9351867
490,NM_015972.4,POLR1D,-0.367725885,0.009723886,0.635009451,-2.585496497,242.9059855
6125,NM_015973.5,GAL,0.128427637,0.807618645,1,0.243499277,22.66290007
8423,NM_015974.3,CRYL1,-0.404142991,0.159201988,1,-1.407760543,33.21263922
31456,NM_015975.5,TAF9B,-0.188970637,0.338307721,1,-0.957514321,57.91258491
