,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5324,NM_014497.5,ZNF638,0.215381776,0.23936061,0.476068651,1.176586447,87.42383115
5325,NM_017657.5,AFTPH,0.452536741,0.239484279,0.47622517,1.176276811,20.56235191
5326,NM_031423.4,NUF2,0.331609555,0.239582932,0.476242475,1.176029891,99.67303105
5327,NM_004853.3,STX8,0.165973819,0.239556562,0.476242475,1.176095885,193.2771396
5328,NM_001078171.2,RTL8C,-0.6723426,0.239692771,0.476371387,-1.175755056,57.67480772
5329,NM_013396.6,USP25,0.337554871,0.239822722,0.476540214,1.175430013,31.56449754
5330,NM_201439.2,PPHLN1,0.22629073,0.239918807,0.476552288,1.175189758,70.5716717
5331,NM_005443.5,PAPSS1,0.214108266,0.239887496,0.476552288,1.175268041,73.58348473
5332,NM_002865.3,RAB2A,0.275560859,0.240025434,0.476674667,1.174923221,39.4533847
5333,NM_001076683.2,UBTF,-0.365935523,0.240087642,0.476708801,-1.174767761,43.37184992
5334,NM_001323527.2,SREK1,0.395875736,0.240335323,0.477021694,1.174149066,29.34062773
5335,NM_032227.4,TMEM164,-0.391218636,0.240290821,0.477021694,-1.174260197,23.4724055
5336,NM_000860.6,HPGD,0.444529535,0.240641455,0.477539799,1.173384986,15.04035176
5337,NM_000314.8,PTEN,0.846477739,0.240747032,0.477573556,1.173121633,10.6890689
5338,NM_001278623.1,NFXL1,0.327073789,0.24075431,0.477573556,1.173103484,28.34272469
5339,NM_174909.5,TMEM167A,0.221813641,0.240793769,0.477573556,1.173005079,84.71042095
5340,NM_001206683.1,ATF7,0.565974578,0.240964495,0.477822666,1.172579448,10.21969307
5341,NM_001317395.2,KCTD10,-0.687231292,0.241075172,0.47792387,-1.172303637,10.4183628
5342,NM_001349636.2,LRRCC1,0.511273279,0.2411058,0.47792387,1.172227327,11.80639568
5343,NM_001128214.2,KCTD6,0.420137514,0.241209839,0.478040612,1.171968161,16.01023793
5344,NM_004096.5,EIF4EBP2,0.228059354,0.241320885,0.478052085,1.17169163,71.2943788
5345,NM_001293627.1,PAPOLA,0.592468682,0.241486505,0.478052085,1.17127936,14.32526419
5346,NM_001311255.1,BLOC1S6,0.268826061,0.241453722,0.478052085,1.171360949,43.59656281
5347,NM_020466.5,LYRM2,0.257177043,0.241290103,0.478052085,1.171768276,47.43259538
5348,NM_015713.5,RRM2B,0.317690598,0.24144331,0.478052085,1.171386864,28.72401711
5349,NM_033428.3,DMAC1,-0.40586142,0.241483827,0.478052085,-1.171286025,20.02888429
5350,NM_012329.3,MMD,0.285896384,0.241612,0.478121747,1.170967105,38.97998724
5351,NM_000214.3,JAG1,-0.489649555,0.24159653,0.478121747,-1.171005591,16.24123045
5352,NM_001164815.1,ACIN1,0.252711642,0.241869422,0.478541725,1.170326946,71.48703839
5353,NM_001353996.1,MTMR1,0.479682058,0.242038476,0.47878674,1.169906803,16.22644813
5354,NM_001290277.1,RARB,0.511844759,0.242111429,0.478841599,1.169725559,11.76009671
5355,NM_001128212.3,WDSUB1,0.869722117,0.242342476,0.479097635,1.169151803,14.75186126
5356,NM_024520.3,MAIP1,0.354302217,0.242288759,0.479097635,1.169285164,26.23491005
5357,NM_018214.5,LRRC1,0.311571451,0.24237662,0.479097635,1.169067046,30.75272063
5358,NM_004273.5,CHST3,-0.572605712,0.242517484,0.479151063,-1.168717463,9.913491347
5359,NM_174976.2,ZDHHC22,-1.011128435,0.242539399,0.479151063,-1.168663088,12.03382306
